Date;Produk;Sales
29/10/2023;Es Teh Leci;1
29/10/2023;French Fries;1
29/10/2023;Karamel Milkshake;1
29/10/2023;Es Taro;1
31/10/2023;Kopi Sejuta Umat;6
31/10/2023;Air Mineral 330ml;6
31/10/2023;Lychee yakult;2
31/10/2023;Es Teh Leci;2
01/11/2023;Kopi Sejuta Umat;7
01/11/2023;Nasi Temen Ayam;2
01/11/2023;Latte Banana;2
01/11/2023;Cappuccino;1
01/11/2023;Latte Hazelnut;1
01/11/2023;pempek (isi 3 pcs);1
01/11/2023;Mie Tonjok Ramen;1
02/11/2023;Kopi Sejuta Umat;5
02/11/2023;Es Klepon;2
02/11/2023;Air Mineral 330ml;1
02/11/2023;Cireng;1
02/11/2023;Beef Burger with Fries;1
02/11/2023;Pisang Aroma;1
03/11/2023;Kopi Sejuta Umat;4
03/11/2023;Americano;2
03/11/2023;French Fries;2
03/11/2023;Sirloin Steak Barbeque Sauce;2
03/11/2023;Latte;1
03/11/2023;Kopi Moka;1
03/11/2023;Es Thaitea;1
03/11/2023;Es Teh Leci;1
03/11/2023;Pisang Aroma;1
04/11/2023;Kopi Sejuta Umat;7
04/11/2023;Americano;2
04/11/2023;French Fries;2
04/11/2023;Es Klepon;2
04/11/2023;Latte;1
04/11/2023;Es Taro;1
04/11/2023;Es Matcha;1
04/11/2023;Cappuccino;1
05/11/2023;Kopi Sejuta Umat;2
05/11/2023;Pisang Aroma;2
05/11/2023;Kopi Rakyat;1
05/11/2023;French Fries;1
05/11/2023;Nasi Temen Sapi;1
05/11/2023;siomay (isi 3);1
05/11/2023;Es Chocolate;1
07/11/2023;Vietnam Drip;1
07/11/2023;Nasi Temen Sapi;1
07/11/2023;Kopi Sejuta Umat;1
07/11/2023;Es Teh Persik;1
07/11/2023;Cappuccino;1
08/11/2023;Kopi Sejuta Umat;6
08/11/2023;Americano;2
08/11/2023;Es Chocolate;1
08/11/2023;Es Klepon;1
08/11/2023;Cireng;1
08/11/2023;Comot Asik;1
08/11/2023;Pisang Aroma;1
08/11/2023;Mie Tonjok Ramen;1
08/11/2023;pempek (isi 3 pcs);1
09/11/2023;Kopi Sejuta Umat;2
09/11/2023;Es Matcha;1
09/11/2023;French Fries;1
09/11/2023;Kopi Pandan;1
10/11/2023;Kopi Sejuta Umat;7
10/11/2023;Kopi Pandan;2
10/11/2023;Lychee yakult;2
10/11/2023;Mie Tonjok Goreng;1
10/11/2023;Pisang Aroma;1
10/11/2023;Sirloin Steak Barbeque Sauce;1
10/11/2023;Mie Tonjok Ramen;1
10/11/2023;Kopi Moka;1
10/11/2023;Es Chocolate;1
11/11/2023;Kopi Sejuta Umat;5
11/11/2023;Cireng;2
11/11/2023;Lychee yakult;1
11/11/2023;Latte Hazelnut;1
11/11/2023;Be Regal;1
11/11/2023;Comot Asik;1
12/11/2023;Kopi Sejuta Umat;2
12/11/2023;Beef Burger with Fries;1
12/11/2023;Es Redvelvet;1
14/11/2023;Kopi Sejuta Umat;4
14/11/2023;Americano;1
15/11/2023;Es Chocolate;5
15/11/2023;Kopi Sejuta Umat;4
15/11/2023;Es Klepon;2
15/11/2023;Americano;2
15/11/2023;Es Matcha;1
15/11/2023;Comot Asik;1
15/11/2023;Mie Tonjok Ramen;1
15/11/2023;Pisang Aroma;1
15/11/2023;French Fries;1
15/11/2023;Latte Hazelnut;1
15/11/2023;Mie Tonjok Goreng;1
16/11/2023;Kopi Sejuta Umat;2
17/11/2023;Latte Hazelnut;1
17/11/2023;Nasi Temen Ayam;1
17/11/2023;Kopi Sejuta Umat;1
18/11/2023;Kopi Sejuta Umat;5
18/11/2023;Latte Hazelnut;1
18/11/2023;Nasi Temen Ayam;1
18/11/2023;Mie Tonjok Ramen;1
18/11/2023;pempek (isi 3 pcs);1
18/11/2023;Es Chocolate;1
18/11/2023;Es Klepon;1
19/11/2023;Kopi Sejuta Umat;3
19/11/2023;Sirloin Steak Barbeque Sauce;3
19/11/2023;French Fries;2
19/11/2023;pempek (isi 3 pcs);1
19/11/2023;Es Klepon;1
21/11/2023;Es Klepon;2
21/11/2023;Es Kopi Klepon;1
21/11/2023;Kopi Sejuta Umat;1
21/11/2023;Pisang Aroma;1
21/11/2023;siomay (isi 3);1
21/11/2023;pempek (isi 3 pcs);1
21/11/2023;Es The Leci;1
22/11/2023;Mie Tonjok Goreng;40
22/11/2023;Kopi Sejuta Umat;6
22/11/2023;Be Regal;1
22/11/2023;Es Teh Biasa Aja;1
22/11/2023;Latte Banana;1
23/11/2023;Kopi Sejuta Umat;4
23/11/2023;Latte Hazelnut;1
25/11/2023;Kopi Sejuta Umat;2
25/11/2023;French Fries;1
25/11/2023;Lychee yakult;1
25/11/2023;Es Taro;1
25/11/2023;Es Thaitea;1
26/11/2023;Kopi Sejuta Umat;2
26/11/2023;Latte Karamel;1
26/11/2023;Es Matcha;1
26/11/2023;Es Thaitea;1
28/11/2023;Kopi Sejuta Umat;7
28/11/2023;Americano;1
28/11/2023;Es Klepon;1
28/11/2023;Es Chocolate;1
29/11/2023;Kopi Sejuta Umat;48
29/11/2023;Kopi Rakyat;3
29/11/2023;Pisang Aroma;2
29/11/2023;Es Kopi Klepon;1
29/11/2023;Latte;1
29/11/2023;Cappuccino;1
29/11/2023;Be Regal;1
29/11/2023;Mie Tonjok Ramen;1
29/11/2023;Es Klepon;1
29/11/2023;Cireng;1
29/11/2023;Es Teh Biasa Aja;1
30/11/2023;Kopi Sejuta Umat;1
30/11/2023;Nasi Temen Ayam;1
